XLA,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.95,76,0,1.05263,0.70711,0.06759,0.27045,0.06759,1.902419,2.15557,1.240462,1.412768,39.25792,0.645811,0.064209,0.239979,0.02097,0.04662
0.95,80,0,1.05263,0.70711,0.06665,0.2696,0.06665,1.916401,2.16921,1.252654,1.424923,41.270053,0.647558,0.063321,0.23912,0.01999,0.04667
0.95,84,0,1.05263,0.70711,0.0658,0.26882,0.0658,1.929233,2.181661,1.263853,1.436021,43.281229,0.649151,0.062513,0.238336,0.01909,0.04671
0.95,88,0,1.05263,0.70711,0.06502,0.2681,0.06502,1.941044,2.193068,1.274169,1.446191,45.291518,0.650609,0.061773,0.237618,0.01828,0.04675
0.95,92,0,1.05263,0.70711,0.06431,0.26744,0.06431,1.951949,2.203555,1.283701,1.455541,47.301106,0.651949,0.061094,0.236957,0.01753,0.04678
0.95,96,0,1.05263,0.70711,0.06365,0.26684,0.06365,1.962042,2.213222,1.292529,1.464163,49.309964,0.653183,0.060469,0.236347,0.01683,0.04682
0.95,100,0,1.05263,0.70711,0.06304,0.26627,0.06304,1.971408,2.222162,1.300724,1.472137,51.318201,0.654325,0.059892,0.235783,0.0162,0.04685
0.95,104,0,1.05263,0.70711,0.06248,0.26575,0.06248,1.98012,2.230452,1.308351,1.479533,53.325877,0.655384,0.059356,0.23526,0.0156,0.04688
0.95,108,0,1.05263,0.70711,0.06196,0.26527,0.06196,1.988242,2.238158,1.315465,1.486408,55.333045,0.656368,0.058859,0.234773,0.01505,0.0469
0.95,112,0,1.05263,0.70711,0.06147,0.26481,0.06147,1.995831,2.245341,1.322113,1.492817,57.339751,0.657286,0.058395,0.234319,0.01454,0.04693
0.95,116,0,1.05263,0.70711,0.06101,0.26439,0.06101,2.002936,2.252049,1.328339,1.498803,59.346036,0.658144,0.057962,0.233894,0.01406,0.04695
0.95,120,0,1.05263,0.70711,0.06059,0.26399,0.06059,2.009601,2.258329,1.33418,1.504407,61.351937,0.658947,0.057556,0.233497,0.01361,0.04697
0.95,124,0,1.05263,0.70711,0.06018,0.26362,0.06018,2.015864,2.26422,1.33967,1.509664,63.357486,0.659701,0.057175,0.233124,0.01319,0.04699
0.95,128,0,1.05263,0.70711,0.05981,0.26327,0.05981,2.02176,2.269756,1.34484,1.514604,65.362714,0.66041,0.056818,0.232773,0.0128,0.04701
0.95,132,0,1.05263,0.70711,0.05945,0.26294,0.05945,2.027319,2.274968,1.349715,1.519256,67.367733,0.661077,0.056481,0.232442,0.01243,0.04703
0.95,136,0,1.05263,0.70711,0.05912,0.26263,0.05912,2.032569,2.279884,1.354319,1.523643,69.372302,0.661707,0.056163,0.23213,0.01207,0.04704
0.95,140,0,1.05263,0.70711,0.0588,0.26234,0.0588,2.037531,2.284523,1.358672,1.527784,71.376624,0.662302,0.055863,0.231836,0.01174,0.04706
0.95,144,0,1.05263,0.70711,0.0585,0.26206,0.0585,2.042235,2.288916,1.362798,1.531705,73.380782,0.662865,0.055578,0.231556,0.01143,0.04707
0.95,148,0,1.05263,0.70711,0.05822,0.2618,0.05822,2.046695,2.293078,1.366711,1.53542,75.384722,0.663399,0.055309,0.231292,0.01113,0.04709
0.95,152,0,1.05263,0.70711,0.05795,0.26155,0.05795,2.050932,2.297027,1.370428,1.538945,77.388536,0.663906,0.055053,0.231041,0.01085,0.0471
0.95,156,0,1.05263,0.70711,0.05769,0.26131,0.05769,2.05496,2.300779,1.373963,1.542294,79.392093,0.664388,0.05481,0.230802,0.01058,0.04712
0.95,160,0,1.05263,0.70711,0.05745,0.26108,0.05745,2.058795,2.304348,1.377328,1.54548,81.395472,0.664847,0.054579,0.230575,0.01032,0.04713
0.95,164,0,1.05263,0.70711,0.05722,0.26086,0.05722,2.062451,2.307747,1.380535,1.548514,83.398684,0.665284,0.054358,0.230358,0.01008,0.04714
0.95,168,0,1.05263,0.70711,0.057,0.26066,0.057,2.065939,2.310988,1.383596,1.551407,85.401869,0.6657,0.054148,0.230151,0.00985,0.04715
0.95,172,0,1.05263,0.70711,0.05679,0.26046,0.05679,2.06927,2.314082,1.386519,1.554168,87.404793,0.666099,0.053947,0.229954,0.00963,0.04716
0.95,176,0,1.05263,0.70711,0.05658,0.26027,0.05658,2.072455,2.317038,1.389314,1.556807,89.407577,0.666479,0.053755,0.229766,0.00941,0.04717
0.95,180,0,1.05263,0.70711,0.05639,0.26009,0.05639,2.075503,2.319866,1.391989,1.559331,91.41023,0.666843,0.053572,0.229585,0.00921,0.04718
0.95,184,0,1.05263,0.70711,0.05621,0.25992,0.05621,2.078424,2.322573,1.394552,1.561748,93.412958,0.667192,0.053396,0.229412,0.00902,0.04719
0.95,188,0,1.05263,0.70711,0.05603,0.25976,0.05603,2.081229,2.325173,1.397014,1.564069,95.415797,0.667527,0.053227,0.229246,0.00883,0.0472
0.95,192,0,1.05263,0.70711,0.05586,0.2596,0.05586,2.083916,2.327662,1.399372,1.566291,97.418156,0.667848,0.053065,0.229087,0.00865,0.04721
