XLA,MU,THT,DT1,DT2,N,S,RHO,SDA,SDS,P(DOWN),P(IDLE),P(LOSS),MEAN_NS,MEANWTS,MEAN_NQ,MEANWTQ,MEAN_CL,RLWSR,RDLOS,RCLOS,P(CS_SH),P(DN_SK)
0.8,1,0.1,1,2,4,188,0,0.88388,0.70711,0.05545,0.30721,0.05529,1.244094,1.648046,0.606756,0.804879,95.069096,0.621793,0.044229,0.133978,0.00822,0.04723
0.8,1,0.1,1,2,4,192,0,0.88388,0.70711,0.05529,0.30713,0.05513,1.244992,1.648923,0.607418,0.80558,97.070462,0.622023,0.044104,0.133873,0.00806,0.04724
0.8,1,0.1,1,2,4,196,0,0.88388,0.70711,0.05514,0.30706,0.05498,1.245854,1.649763,0.608053,0.806253,99.071776,0.622244,0.043984,0.133772,0.0079,0.04724
0.8,1,0.1,1,2,4,200,0,0.88388,0.70711,0.05499,0.30699,0.05484,1.246682,1.650571,0.608664,0.806899,101.073043,0.622457,0.043869,0.133675,0.00774,0.04725
0.8,1,0.1,1,2,4,4,0,1.25,0.70711,0.22701,0.39589,0.22701,0.645015,1.043056,0.26792,0.433254,2.526788,0.367898,0.18161,0.250492,0.18836,0.03865
0.8,1,0.1,1,2,4,8,0,1.25,0.70711,0.16333,0.38877,0.16333,0.826964,1.228699,0.379066,0.559852,4.643123,0.436973,0.130666,0.232361,0.1215,0.04183
0.8,1,0.1,1,2,4,12,0,1.25,0.70711,0.13441,0.37986,0.13441,0.942996,1.350073,0.457262,0.650856,6.746275,0.473887,0.107527,0.218587,0.09113,0.04328
0.8,1,0.1,1,2,4,16,0,1.25,0.70711,0.1173,0.37269,0.1173,1.026417,1.440539,0.51641,0.722265,8.829184,0.497568,0.093844,0.208588,0.07317,0.04413
0.8,1,0.1,1,2,4,20,0,1.25,0.70711,0.10591,0.36707,0.10591,1.089874,1.5119,0.562855,0.779878,10.89625,0.514166,0.084731,0.201103,0.06121,0.0447
0.8,1,0.1,1,2,4,24,0,1.25,0.70711,0.09776,0.36261,0.09776,1.139905,1.569573,0.600273,0.826929,12.951649,0.52647,0.078207,0.195323,0.05265,0.04511
0.8,1,0.1,1,2,4,28,0,1.25,0.70711,0.09162,0.35902,0.09162,1.180375,1.616838,0.631015,0.86571,14.998204,0.535961,0.073298,0.190741,0.0462,0.04542
0.8,1,0.1,1,2,4,32,0,1.25,0.70711,0.08683,0.35608,0.08683,1.213764,1.656008,0.656672,0.897973,17.037845,0.543504,0.069466,0.187029,0.04117,0.04566
0.8,1,0.1,1,2,4,36,0,1.25,0.70711,0.08299,0.35363,0.08299,1.241747,1.688809,0.678364,0.925066,19.071959,0.549642,0.066391,0.183967,0.03714,0.04585
0.8,1,0.1,1,2,4,40,0,1.25,0.70711,0.07983,0.35157,0.07983,1.26551,1.716553,0.696909,0.948033,21.101576,0.554732,0.063867,0.181401,0.03383,0.04601
0.8,1,0.1,1,2,4,44,0,1.25,0.70711,0.0772,0.34981,0.0772,1.285912,1.740244,0.712918,0.96768,23.127485,0.559019,0.061757,0.179223,0.03106,0.04614
0.8,1,0.1,1,2,4,48,0,1.25,0.70711,0.07496,0.34829,0.07496,1.303599,1.760654,0.726853,0.984632,25.150306,0.562679,0.059968,0.177353,0.02871,0.04625
0.8,1,0.1,1,2,4,52,0,1.25,0.70711,0.07304,0.34698,0.07304,1.319061,1.778386,0.739077,0.999377,27.170529,0.565838,0.058431,0.175732,0.02669,0.04635
0.8,1,0.1,1,2,4,56,0,1.25,0.70711,0.07137,0.34582,0.07137,1.332678,1.79391,0.749872,1.012298,29.188555,0.568591,0.057096,0.174313,0.02494,0.04643
0.8,1,0.1,1,2,4,60,0,1.25,0.70711,0.06991,0.34481,0.06991,1.344753,1.807597,0.759465,1.023699,31.204678,0.571012,0.055925,0.173062,0.0234,0.0465
0.8,1,0.1,1,2,4,64,0,1.25,0.70711,0.06861,0.3439,0.06861,1.355523,1.819742,0.768037,1.033823,33.219191,0.573157,0.054891,0.171952,0.02204,0.04657
0.8,1,0.1,1,2,4,68,0,1.25,0.70711,0.06746,0.34309,0.06746,1.365184,1.830586,0.775737,1.042867,35.232302,0.57507,0.05397,0.17096,0.02084,0.04663
0.8,1,0.1,1,2,4,72,0,1.25,0.70711,0.06643,0.34236,0.06643,1.373893,1.84032,0.782686,1.050988,37.244193,0.576787,0.053145,0.170068,0.01975,0.04668
0.8,1,0.1,1,2,4,76,0,1.25,0.70711,0.0655,0.3417,0.0655,1.38178,1.849103,0.788986,1.058319,39.255033,0.578335,0.052402,0.169263,0.01878,0.04672
0.8,1,0.1,1,2,4,80,0,1.25,0.70711,0.06466,0.34111,0.06466,1.388954,1.857064,0.794721,1.064966,41.264924,0.579739,0.051728,0.168532,0.01789,0.04677
0.8,1,0.1,1,2,4,84,0,1.25,0.70711,0.06389,0.34056,0.06389,1.395504,1.864312,0.79996,1.071019,43.27399,0.581018,0.051115,0.167866,0.01709,0.04681
0.8,1,0.1,1,2,4,88,0,1.25,0.70711,0.06319,0.34006,0.06319,1.401507,1.870937,0.804764,1.076552,45.282324,0.582188,0.050555,0.167257,0.01635,0.04684
0.8,1,0.1,1,2,4,92,0,1.25,0.70711,0.06255,0.33961,0.06255,1.407027,1.877015,0.809185,1.081629,47.290061,0.583261,0.050041,0.166698,0.01568,0.04687
0.8,1,0.1,1,2,4,96,0,1.25,0.70711,0.06196,0.33918,0.06196,1.412119,1.882609,0.813263,1.086303,49.297167,0.58425,0.049568,0.166182,0.01506,0.0469
0.8,1,0.1,1,2,4,100,0,1.25,0.70711,0.06141,0.33879,0.06141,1.41683,1.887775,0.817037,1.09062,51.30375,0.585164,0.049131,0.165705,0.01448,0.04693
0.8,1,0.1,1,2,4,104,0,1.25,0.70711,0.06091,0.33843,0.06091,1.4212,1.89256,0.820539,1.094618,53.309894,0.586011,0.048726,0.165263,0.01395,0.04695
0.8,1,0.1,1,2,4,108,0,1.25,0.70711,0.06044,0.3381,0.06044,1.425265,1.897003,0.823798,1.098332,55.315586,0.586798,0.048349,0.164853,0.01346,0.04698
0.8,1,0.1,1,2,4,112,0,1.25,0.70711,0.06,0.33778,0.06,1.429056,1.901141,0.826836,1.101789,57.320939,0.587531,0.047999,0.16447,0.013,0.047
0.8,1,0.1,1,2,4,116,0,1.25,0.70711,0.05959,0.33749,0.05959,1.432598,1.905002,0.829676,1.105017,59.3259,0.588216,0.047671,0.164113,0.01257,0.04702
0.8,1,0.1,1,2,4,120,0,1.25,0.70711,0.05921,0.33722,0.05921,1.435913,1.908613,0.832334,1.108035,61.330492,0.588857,0.047365,0.163778,0.01217,0.04704
0.8,1,0.1,1,2,4,124,0,1.25,0.70711,0.05885,0.33696,0.05885,1.439025,1.911999,0.834831,1.110865,63.334876,0.589458,0.047078,0.163464,0.01179,0.04706
0.8,1,0.1,1,2,4,128,0,1.25,0.70711,0.05851,0.33672,0.05851,1.441952,1.91518,0.837178,1.113523,65.339,0.590024,0.046807,0.163169,0.01143,0.04707
0.8,1,0.1,1,2,4,132,0,1.25,0.70711,0.05819,0.33649,0.05819,1.444708,1.918173,0.839388,1.116025,67.342888,0.590556,0.046553,0.162891,0.0111,0.04709
0.8,1,0.1,1,2,4,136,0,1.25,0.70711,0.05789,0.33627,0.05789,1.447309,1.920995,0.841474,1.118384,69.34656,0.591058,0.046313,0.162629,0.01079,0.04711
0.8,1,0.1,1,2,4,140,0,1.25,0.70711,0.05761,0.33607,0.05761,1.449766,1.92366,0.843445,1.120612,71.350033,0.591533,0.046086,0.162381,0.01049,0.04712
0.8,1,0.1,1,2,4,144,0,1.25,0.70711,0.05734,0.33588,0.05734,1.452092,1.92618,0.845311,1.122718,73.353324,0.591982,0.045872,0.162147,0.01021,0.04713
0.8,1,0.1,1,2,4,148,0,1.25,0.70711,0.05709,0.3357,0.05709,1.454297,1.928567,0.84708,1.124714,75.356447,0.592407,0.045669,0.161924,0.00994,0.04715
0.8,1,0.1,1,2,4,152,0,1.25,0.70711,0.05684,0.33552,0.05684,1.456392,1.930835,0.84876,1.126609,77.359578,0.592811,0.045475,0.161713,0.00969,0.04716
